Date,Order,Item Purchased,Sales,Review Rating,Shipping Type,Discount Applied,Promo Code Used
2023-01-02,06-10889-03250RP,Blouse,3,5,Next Day Air,Yes,Yes
2023-01-02,3165072224,Shirt,4,4.4,Free Shipping,Yes,Yes
2023-01-02,3157980131,Shirt,3,4.1,Store Pickup,Yes,Yes
2023-01-02,02-11000-35984,Blouse,2,4.7,Standard,Yes,Yes
2023-01-02,20-10989-00813,Blouse,1,4.7,Store Pickup,Yes,Yes
2023-01-02,3159209585,Shirt,5,4.9,Free Shipping,Yes,Yes
2023-01-02,03-10994-08131,Blouse,3,3.3,Store Pickup,Yes,Yes
2023-01-02,18-10984-87351,Dress,3,4.6,2-Day Shipping,Yes,Yes
2023-01-02,3159942235-2,Shirt,1,4,2-Day Shipping,Yes,Yes
2023-01-02,17-10989-70602,Blouse,5,4.6,Free Shipping,Yes,Yes
2023-01-02,16-10988-02371,Blouse,5,2.8,Store Pickup,Yes,Yes
2023-01-02,03-10996-16860,Blouse,4,3.7,2-Day Shipping,Yes,Yes
2023-01-02,14-10994-31683,Blouse,5,4.2,Express,Yes,Yes
2023-01-02,04-10993-16382,Blouse,4,4.6,Next Day Air,Yes,Yes
2023-01-02,27-10978-69937,Blouse,5,4.5,Standard,Yes,Yes
2023-01-02,01-11002-10708,Dress,4,4.1,Free Shipping,Yes,Yes
2023-01-02,01-11001-47577,Blouse,3,3.7,Store Pickup,Yes,Yes
2023-01-02,10-10920-69321RP,Blouse,2,4.6,Free Shipping,Yes,Yes
2023-01-02,17-10986-44135,Blouse,5,2.9,2-Day Shipping,Yes,Yes
2023-01-02,23-10899-04486RP,Blouse,4,2.9,Store Pickup,Yes,Yes
2023-01-02,21-10990-19696,Blouse,5,4.5,Free Shipping,Yes,Yes
2023-01-02,06-10991-91005,Blouse,3,2.7,Store Pickup,Yes,Yes
2023-01-02,3158179889,Shirt,3,4.6,Next Day Air,Yes,Yes
2023-01-02,3159942235-1,Shirt,4,3.7,Store Pickup,Yes,Yes
2023-01-02,3157454907,Shirt,2,4.7,2-Day Shipping,Yes,Yes
2023-01-02,14-10987-02425,Blouse,1,2.6,Free Shipping,Yes,Yes
2023-01-02,16-10991-10565,Blouse,1,3.9,Next Day Air,Yes,Yes
2023-01-02,26-10982-64885,Blouse,4,4.2,Next Day Air,Yes,Yes
2023-01-02,22-10982-43713,Blouse,4,3,2-Day Shipping,Yes,Yes
2023-01-02,09-10985-93817,Blouse,4,4.7,Store Pickup,Yes,Yes
2023-01-02,01-11000-98587,Blouse,3,4.4,Store Pickup,Yes,Yes
2023-01-02,23-10986-07286,Blouse,4,4.2,Free Shipping,Yes,Yes
2023-01-02,02-11000-91340,Blouse,2,4.6,Standard,Yes,Yes
2023-01-02,20-10986-92793,Blouse,2,4,Express,Yes,Yes
2023-01-02,13-10986-30836,Blouse,5,4.7,Store Pickup,Yes,Yes
2023-01-02,14-10995-74034,Dress,2,3.8,Free Shipping,Yes,Yes
2023-01-02,576559853404786736,Skirt,5,2.7,2-Day Shipping,Yes,Yes
2023-01-02,08-10992-57354,Blouse,3,4.8,Standard,Yes,Yes
2023-01-02,07-10993-16052,Dress,4,4.8,2-Day Shipping,Yes,Yes
2023-01-02,20-10984-84447,Blouse,4,4.7,2-Day Shipping,Yes,Yes
2023-01-03,27-10976-72954,Blouse,1,4.4,Store Pickup,Yes,Yes
2023-01-03,15-10999-38062,Blouse,2,3.9,Next Day Air,Yes,Yes
2023-01-03,06-10993-31680,Blouse,2,4.4,Express,Yes,Yes
2023-01-03,03-11006-41934,Blouse,2,4.2,Express,Yes,Yes
2023-01-03,15-10984-01370,Dress,3,2.9,Express,Yes,Yes
2023-01-03,15-10999-90297,Blouse,4,2.9,Store Pickup,Yes,Yes
2023-01-03,04-10996-60745,Blouse,1,2.7,Free Shipping,Yes,Yes
2023-01-03,25-10986-38675,Blouse,4,4.5,Express,Yes,Yes
2023-01-03,06-11002-30450,Blouse,4,2.7,Free Shipping,Yes,Yes
2023-01-03,22-10985-68871,Blouse,2,4.2,Free Shipping,Yes,Yes
2023-01-03,07-10992-75235,Blouse,4,3.3,Next Day Air,Yes,Yes
2023-01-03,05-10976-61928,Dress,3,4.7,Free Shipping,Yes,Yes
2023-01-03,22-10985-79886,Blouse,5,2.6,2-Day Shipping,Yes,Yes
2023-01-03,10-11004-29052,Blouse,1,3.3,Store Pickup,Yes,Yes
2023-01-03,10-10986-99920,Blouse,3,2.6,Express,Yes,Yes
2023-01-03,01-11005-75572,Blouse,1,4,2-Day Shipping,Yes,Yes
2023-01-03,19-10997-12076,Blouse,4,4.1,Standard,Yes,Yes
2023-01-03,21-10993-90888,Blouse,4,4.4,Standard,Yes,Yes
2023-01-03,05-11003-58208,Blouse,4,4.5,Next Day Air,Yes,Yes
2023-01-03,13-10996-11382,Blouse,3,3.7,2-Day Shipping,Yes,Yes
2023-01-03,02-11008-09661,Blouse,1,3.7,2-Day Shipping,Yes,Yes
2023-01-03,25-10991-76252,Blouse,5,3.5,Free Shipping,Yes,Yes
2023-01-04,3161625409,Shirt,1,3.6,Next Day Air,Yes,Yes
2023-01-04,20-11000-96137,Blouse,4,2.9,Express,Yes,Yes
2023-01-04,16-11003-07917,Blouse,1,4.6,Standard,Yes,Yes
2023-01-04,3168804766,Shirt,1,4.4,2-Day Shipping,Yes,Yes
2023-01-04,3160823737,Shirt,4,4.5,Standard,Yes,Yes
2023-01-04,3168414186,Shirt,5,4.6,Free Shipping,Yes,Yes
2023-01-04,07-11008-23717,Blouse,3,3.8,Free Shipping,Yes,Yes
2023-01-04,354301,Skirt,3,3.6,Express,Yes,Yes
2023-01-04,11-11006-32356,Blouse,4,4.8,Store Pickup,Yes,Yes
2023-01-04,26-10992-66699,Blouse,4,2.6,Next Day Air,Yes,Yes
2023-01-04,3160808499,Shirt,3,3.7,Express,Yes,Yes
2023-01-04,3169432490,Shirt,5,2.7,Express,Yes,Yes
2023-01-04,24-11008-87653,Blouse,3,4.6,Express,Yes,Yes
2023-01-04,3168312234,Shirt,1,4.8,Next Day Air,Yes,Yes
2023-01-04,03-11013-09658,Blouse,1,4,Next Day Air,Yes,Yes
2023-01-04,19-11001-25237,Dress,1,4.4,2-Day Shipping,Yes,Yes
2023-01-04,24-11011-55467,Blouse,4,3.6,Next Day Air,Yes,Yes
2023-01-04,11-11006-56941,Blouse,1,3.7,Standard,Yes,Yes
2023-01-04,3169178312,Shirt,4,3.1,Next Day Air,Yes,Yes
2023-01-04,12-11006-78328,Blouse,2,3.4,Next Day Air,Yes,Yes
2023-01-04,19-10998-62586,Blouse,2,2.6,Next Day Air,Yes,Yes
2023-01-04,01-11012-67719,Blouse,4,4,Standard,Yes,Yes
2023-01-04,02-11005-50244,Blouse,1,5,Free Shipping,Yes,Yes
2023-01-04,05-11012-17672,Blouse,4,4.3,Free Shipping,Yes,Yes
2023-01-04,14-11004-34175,Blouse,5,3.1,Next Day Air,Yes,Yes
2023-01-04,13-11006-02410,Blouse,5,3.7,Store Pickup,Yes,Yes
2023-01-04,08-11003-04634,Blouse,2,3.8,Standard,Yes,Yes
2023-01-04,3168142292,Shirt,3,3.4,Free Shipping,Yes,Yes
2023-01-04,06-11005-09230,Blouse,5,4.6,Express,Yes,Yes
2023-01-04,3169446502,Shirt,2,4.8,2-Day Shipping,Yes,Yes
2023-01-04,3161880759,Shirt,2,4.3,Express,Yes,Yes
2023-01-04,3161801675,Shirt,4,4,Express,Yes,Yes
2023-01-04,3161695203,Shirt,5,4.2,Standard,Yes,Yes
2023-01-04,02-11011-73328,Blouse,3,4.8,2-Day Shipping,Yes,Yes
2023-01-04,07-11006-43641,Blouse,4,3.1,Free Shipping,Yes,Yes
2023-01-04,19-11001-84993,Blouse,2,3.1,Next Day Air,Yes,Yes
2023-01-04,08-11006-56550,Blouse,2,3.6,Next Day Air,Yes,Yes
2023-01-04,21-10995-44264,Dress,2,3.9,Store Pickup,Yes,Yes
2023-01-04,25-10997-51300,Blouse,1,4.8,Next Day Air,Yes,Yes
2023-01-04,08-11006-83050,Blouse,5,4.7,Standard,Yes,Yes
2023-01-04,27-10995-79150,Blouse,2,4.2,2-Day Shipping,Yes,Yes
2023-01-04,15-11002-22538,Blouse,2,3.7,Next Day Air,Yes,Yes
2023-01-04,12-11005-12820,Blouse,3,3.9,Standard,Yes,Yes
2023-01-04,04-11012-37113,Blouse,1,4.7,2-Day Shipping,Yes,Yes
2023-01-04,16-10998-51056,Blouse,4,2.5,Next Day Air,Yes,Yes
2023-01-04,21-10991-98958,Dress,5,4.9,Store Pickup,Yes,Yes
2023-01-04,12-11006-78327,Blouse,2,4.1,Express,Yes,Yes
2023-01-04,04-11005-83365,Blouse,2,3.3,Free Shipping,Yes,Yes
2023-01-04,25-10997-82322,Blouse,4,4.7,Free Shipping,Yes,Yes
2023-01-05,09-10991-40473,Dress,2,4.4,Store Pickup,Yes,Yes
2023-01-05,16-10981-77999,Dress,4,3.8,Store Pickup,Yes,Yes
2023-01-05,19-11003-64244,Blouse,4,3.9,2-Day Shipping,Yes,Yes
2023-01-05,22-10921-30827RP,Blouse,4,4.9,Free Shipping,Yes,Yes
2023-01-05,02-11018-45016,Blouse,5,3.1,Free Shipping,Yes,Yes
2023-01-05,3162664553,Shirt,1,2.7,Store Pickup,Yes,Yes
2023-01-05,3170604028,Shirt,2,3.2,Express,Yes,Yes
2023-01-05,26-10984-24166,Dress,5,4.5,Standard,Yes,Yes
2023-01-05,3170772622,Shirt,1,4,Standard,Yes,Yes
2023-01-05,19-11005-52490,Blouse,2,3.5,2-Day Shipping,Yes,Yes
2023-01-05,3162681609,Shirt,2,2.6,Store Pickup,Yes,Yes
2023-01-05,14-11005-31621,Blouse,5,3.2,Free Shipping,Yes,Yes
2023-01-05,20-10989-70885,Dress,3,4.9,Standard,Yes,Yes
2023-01-05,26-10843-61440,Dress,5,4.5,Next Day Air,Yes,Yes
2023-01-05,3171264570,Shirt,2,4.3,Express,Yes,Yes
2023-01-05,10-11011-48587,Blouse,1,3.2,Standard,Yes,Yes
2023-01-05,10-10993-69313,Dress,1,3.6,Next Day Air,Yes,Yes
2023-01-05,06-10997-83476,Dress,3,4.3,Free Shipping,Yes,Yes
2023-01-05,3162543633,Shirt,3,4,Standard,Yes,Yes
2023-01-05,3170986652,Shirt,3,3,Next Day Air,Yes,Yes
2023-01-05,3162601843,Shirt,1,4.1,Standard,Yes,Yes
2023-01-05,3170956456,Shirt,2,3.8,Store Pickup,Yes,Yes
2023-01-05,3170554474,Shirt,4,4.6,Free Shipping,Yes,Yes
2023-01-05,12-11009-18123,Dress,2,3,Express,Yes,Yes
2023-01-05,23-10984-44994,Dress,4,3,Store Pickup,Yes,Yes
2023-01-05,04-11014-29231,Blouse,3,3.4,Standard,Yes,Yes
2023-01-05,08-11007-50669,Blouse,3,2.6,Free Shipping,Yes,Yes
2023-01-05,21-11004-23717,Blouse,1,2.8,Store Pickup,Yes,Yes
2023-01-05,01-11013-94738,Blouse,5,4,Store Pickup,Yes,Yes
2023-01-05,17-10987-95014,Dress,1,4,Express,Yes,Yes
2023-01-05,26-10997-06653,Blouse,1,3,Express,Yes,Yes
2023-01-05,26-11000-96083,Blouse,3,3.3,Standard,Yes,Yes
2023-01-05,23-11003-30248,Blouse,2,2.6,Store Pickup,Yes,Yes
2023-01-05,17-10991-07297,Dress,2,3.6,Store Pickup,Yes,Yes
2023-01-05,01-11016-38645,Blouse,3,3.9,Next Day Air,Yes,Yes
2023-01-05,03-11014-91952,Blouse,1,3.4,Standard,Yes,Yes
2023-01-05,16-11006-81463,Blouse,4,3.5,Express,Yes,Yes
2023-01-05,27-10996-32234,Blouse,5,2.8,Next Day Air,Yes,Yes
2023-01-05,05-11007-41900,Dress,1,2.7,Next Day Air,Yes,Yes
2023-01-05,05-11012-46616,Blouse,2,3.7,Next Day Air,Yes,Yes
2023-01-05,10-11010-72303,Dress,5,4.3,2-Day Shipping,Yes,Yes
2023-01-05,14-11004-99869,Blouse,5,4.9,Store Pickup,Yes,Yes
2023-01-05,24-11014-26734,Dress,4,3.3,Store Pickup,Yes,Yes
2023-01-06,3171415928,Shirt,3,4.7,Next Day Air,Yes,Yes
2023-01-06,3163479685,Shirt,5,2.8,Store Pickup,Yes,Yes
2023-01-06,16-11007-99325,Blouse,4,3.6,2-Day Shipping,Yes,Yes
2023-01-06,21-11004-60591,Blouse,1,3,Express,Yes,Yes
2023-01-06,05-11020-35644,Blouse,2,4.5,Store Pickup,Yes,Yes
2023-01-06,18-11003-58220,Blouse,5,2.9,Standard,Yes,Yes
2023-01-06,01-11019-04413,Blouse,4,3.3,Store Pickup,Yes,Yes
2023-01-06,3169577970,Skirt,3,3.1,Express,Yes,Yes
2023-01-06,27-11003-87335,Blouse,1,4.4,Next Day Air,Yes,Yes
2023-01-06,3171649576,Shirt,3,3,Free Shipping,Yes,Yes
2023-01-06,3163298781,Shirt,3,3.9,Free Shipping,Yes,Yes
2023-01-06,3163569123,Shirt,3,2.9,Express,Yes,Yes
2023-01-06,02-11022-69634,Dress,1,3,Standard,Yes,Yes
2023-01-06,26-10999-95334,Blouse,5,3.1,Express,Yes,Yes
2023-01-06,01-11017-95245,Blouse,3,4.3,Free Shipping,Yes,Yes
2023-01-06,04-11019-09996,Dress,2,3.9,Next Day Air,Yes,Yes
2023-01-06,27-11004-46073,Blouse,2,3.2,2-Day Shipping,Yes,Yes
2023-01-06,19-11006-36752,Blouse,4,4.8,Standard,Yes,Yes
2023-01-06,08-11017-54865,Blouse,2,3.8,Express,Yes,Yes
2023-01-06,14-11007-62393,Blouse,1,3.3,Next Day Air,Yes,Yes
2023-01-06,03-11021-20490,Blouse,4,4.3,Free Shipping,Yes,Yes
2023-01-06,20-11003-36365,Blouse,2,2.7,Express,Yes,Yes
2023-01-06,23-11007-40151,Dress,3,3.2,Next Day Air,Yes,Yes
2023-01-06,3171414714,Shirt,5,4,Store Pickup,Yes,Yes
2023-01-06,3171649578,Shirt,4,3,Standard,Yes,Yes
2023-01-06,19-11004-53134,Blouse,1,4.2,Free Shipping,Yes,Yes
2023-01-06,07-11014-05440,Blouse,4,2.9,Express,Yes,Yes
2023-01-06,06-11019-65577,Dress,1,4.1,Store Pickup,Yes,Yes
2023-01-06,11-11009-32086,Blouse,3,3.2,Store Pickup,Yes,Yes
2023-01-06,26-11003-17892,Dress,3,3,2-Day Shipping,Yes,Yes
2023-01-06,18-11005-55398,Blouse,2,4.2,2-Day Shipping,Yes,Yes
2023-01-08,3165638405,Shirt,5,4.2,Express,Yes,Yes
2023-01-08,24-11023-29621,Blouse,5,4.4,Store Pickup,Yes,Yes
2023-01-08,22-11008-36542,Blouse,5,4.2,Next Day Air,Yes,Yes
2023-01-08,3165243315,Skirt,2,2.8,2-Day Shipping,Yes,Yes
2023-01-08,18-11000-00582,Dress,3,3.7,Free Shipping,Yes,Yes
2023-01-08,04-11028-62165,Blouse,5,3.5,Next Day Air,Yes,Yes
2023-01-08,18-11017-51117,Blouse,2,2.9,Store Pickup,Yes,Yes
2023-01-08,18-11008-93151,Blouse,2,3,Free Shipping,Yes,Yes
2023-01-08,17-11019-03551,Blouse,3,3.7,Express,Yes,Yes
2023-01-08,25-11008-47502,Blouse,2,4.4,Store Pickup,Yes,Yes
2023-01-08,3172220140,Shirt,3,4.5,2-Day Shipping,Yes,Yes
2023-01-08,02-11020-34557,Blouse,2,4.8,Free Shipping,Yes,Yes
2023-01-08,10-11012-67463,Blouse,2,2.9,Free Shipping,Yes,Yes
2023-01-08,11-11017-04788,Blouse,1,3.2,Next Day Air,Yes,Yes
2023-01-08,10-11013-16088,Blouse,3,3.3,Free Shipping,Yes,Yes
2023-01-08,11-11024-08974,Blouse,3,4.2,Standard,Yes,Yes
2023-01-08,04-11022-40317,Blouse,1,2.9,Store Pickup,Yes,Yes
2023-01-08,3165983847,Shirt,4,4.6,Next Day Air,Yes,Yes
2023-01-08,3164219613,Shirt,1,4.1,Standard,Yes,Yes
2023-01-08,11-11019-53073,Blouse,3,3.1,2-Day Shipping,Yes,Yes
2023-01-08,3172588824,Shirt,3,4.2,Express,Yes,Yes
2023-01-08,04-11029-37529,Blouse,1,4.5,Next Day Air,Yes,Yes
2023-01-08,15-11018-22024,Blouse,3,3.7,Next Day Air,Yes,Yes
2023-01-08,10-11017-68120,Blouse,4,3.7,Free Shipping,Yes,Yes
2023-01-08,07-11026-13251,Blouse,4,3.4,Next Day Air,Yes,Yes
2023-01-08,19-11015-39828,Blouse,3,3,Store Pickup,Yes,Yes
2023-01-08,21-11012-53442,Blouse,5,4.2,Free Shipping,Yes,Yes
2023-01-08,20-11005-04309,Dress,5,2.9,Express,Yes,Yes
2023-01-08,02-11028-52147,Blouse,3,3.5,Free Shipping,Yes,Yes
2023-01-08,10-11020-54657,Blouse,5,4.1,Free Shipping,Yes,Yes
2023-01-08,27-11004-65606,Dress,1,4.3,Store Pickup,Yes,Yes
2023-01-08,23-11010-96246,Blouse,3,2.8,2-Day Shipping,Yes,Yes
2023-01-08,3172044848,Shirt,4,4.9,2-Day Shipping,Yes,Yes
2023-01-08,06-11019-82623,Blouse,4,3.3,Next Day Air,Yes,Yes
2023-01-08,10-11017-68121,Blouse,1,3.2,Express,Yes,Yes
2023-01-08,03-11029-97571,Blouse,1,4.4,Standard,Yes,Yes
2023-01-08,04-11027-47283,Dress,4,4.8,Express,Yes,Yes
2023-01-08,14-11016-65613,Blouse,4,4.2,Standard,Yes,Yes
2023-01-08,10-11018-66885,Blouse,1,4,Express,Yes,Yes
2023-01-08,07-11020-98921,Blouse,3,2.5,Standard,Yes,Yes
2023-01-08,25-11011-89791,Blouse,2,3.9,Free Shipping,Yes,Yes
2023-01-08,23-11013-51885,Blouse,2,4.9,2-Day Shipping,Yes,Yes
2023-01-08,03-11028-33483,Blouse,5,3.5,Store Pickup,Yes,Yes
2023-01-08,25-11013-04824,Blouse,5,4.2,Free Shipping,Yes,Yes
2023-01-08,11-11019-72416,Blouse,3,4.7,Express,Yes,Yes
2023-01-08,3172123492,Shirt,1,4.5,Express,Yes,Yes
2023-01-08,3163583145,Shirt,2,2.8,Express,Yes,Yes
2023-01-08,13-11016-49823,Blouse,5,2.9,Standard,Yes,Yes
2023-01-08,21-11011-97717,Blouse,3,3.2,2-Day Shipping,Yes,Yes
2023-01-08,04-11018-68921,Blouse,2,4.9,Standard,Yes,Yes
2023-01-08,3164259995,Shirt,2,3.7,Next Day Air,Yes,Yes
2023-01-08,02-11023-95771,Blouse,1,4.3,Store Pickup,Yes,Yes
2023-01-08,3171993888,Shirt,1,3.9,Store Pickup,Yes,Yes
2023-01-08,12-11017-32876,Blouse,3,3.2,2-Day Shipping,Yes,Yes
2023-01-08,09-11017-52662,Blouse,5,3.1,Express,Yes,Yes
2023-01-08,3164064533,Shirt,2,3.9,2-Day Shipping,Yes,Yes
2023-01-08,11-11014-19048,Blouse,2,2.6,Store Pickup,Yes,Yes
2023-01-08,02-11023-70597,Blouse,5,3.3,Next Day Air,Yes,Yes
2023-01-08,22-11009-00396,Blouse,4,4.6,Free Shipping,Yes,Yes
2023-01-08,3165842439,Shirt,2,4.6,Express,Yes,Yes
2023-01-08,20-11009-73886,Blouse,2,4.4,2-Day Shipping,Yes,Yes
2023-01-08,08-11023-91980,Blouse,3,4.2,Express,Yes,Yes
2023-01-08,05-11019-42770,Dress,4,3,Express,Yes,Yes
2023-01-08,14-11020-61643,Blouse,1,4,Express,Yes,Yes
2023-01-08,10-11013-01848,Blouse,1,3.5,Express,Yes,Yes
2023-01-08,14-11014-24970,Blouse,4,3,Store Pickup,Yes,Yes
2023-01-08,3164040979,Shirt,2,3.7,Express,Yes,Yes
2023-01-08,18-11018-53630,Blouse,5,4,Standard,Yes,Yes
2023-01-08,08-11021-85216,Blouse,2,4.2,2-Day Shipping,Yes,Yes
2023-01-08,10-11013-01849,Blouse,3,2.5,Standard,Yes,Yes
2023-01-08,15-11021-15800,Blouse,5,3,2-Day Shipping,Yes,Yes
2023-01-08,3164694545,Shirt,4,3.2,Next Day Air,Yes,Yes
2023-01-08,16-11012-64180,Dress,5,3.5,Standard,Yes,Yes
2023-01-08,11-11020-27508,Blouse,3,4.8,Express,Yes,Yes
2023-01-08,10-11017-68119,Blouse,2,2.6,Store Pickup,Yes,Yes
2023-01-08,22-11004-29510,Blouse,2,3.4,2-Day Shipping,Yes,Yes
2023-01-08,26-11013-39322,Blouse,5,3.7,2-Day Shipping,Yes,Yes
2023-01-08,05-11020-56766,Blouse,3,4.5,2-Day Shipping,Yes,Yes
2023-01-08,06-11025-35161,Blouse,2,3.7,Standard,Yes,Yes
2023-01-08,17-11015-78975,Blouse,4,3.3,Next Day Air,Yes,Yes
2023-01-08,13-11016-32496,Blouse,3,4.7,Free Shipping,Yes,Yes
2023-01-08,27-11006-45992,Blouse,5,2.7,Express,Yes,Yes
2023-01-08,3163670671,Shirt,1,4.6,Store Pickup,Yes,Yes
2023-01-08,3171863532,Shirt,3,2.7,Store Pickup,Yes,Yes
2023-01-08,10-11024-09500,Blouse,5,4.8,2-Day Shipping,Yes,Yes
2023-01-08,21-11006-88682,Blouse,1,4.4,Standard,Yes,Yes
2023-01-08,02-11022-38247,Blouse,1,4,Standard,Yes,Yes
2023-01-08,18-11006-30317,Dress,2,3.2,Next Day Air,Yes,Yes
2023-01-08,26-11013-61796,Blouse,2,4.4,Store Pickup,Yes,Yes
2023-01-08,16-11019-99021,Blouse,4,3.8,Standard,Yes,Yes
2023-01-08,05-11014-86751,Blouse,5,3.6,Express,Yes,Yes
2023-01-08,13-11014-47557,Blouse,4,3.3,Next Day Air,Yes,Yes
2023-01-08,04-11022-94471,Blouse,3,3.4,Next Day Air,Yes,Yes
2023-01-08,11-11016-18679,Blouse,5,3.5,2-Day Shipping,Yes,Yes
2023-01-08,26-11001-44270,Blouse,4,3.6,Express,Yes,Yes
2023-01-08,22-11008-09005,Blouse,1,3.2,Free Shipping,Yes,Yes
2023-01-08,11-11017-45010,Blouse,2,3.7,Standard,Yes,Yes
2023-01-08,01-11020-04524,Blouse,1,4.5,Standard,Yes,Yes
2023-01-08,02-11020-57400,Blouse,2,4.6,Standard,Yes,Yes
2023-01-09,3175504714,Shirt,3,4.1,Store Pickup,Yes,Yes
2023-01-09,3166794417,Shirt,1,3.4,Next Day Air,Yes,Yes
2023-01-09,18-11019-58538,Dress,4,3.7,Express,Yes,Yes
2023-01-09,10-11028-05774,Blouse,3,3.3,Store Pickup,Yes,Yes
2023-01-09,20-11022-39868,Blouse,5,4.5,Express,Yes,Yes
2023-01-09,13-11025-04995,Blouse,2,3.3,Free Shipping,Yes,Yes
2023-01-09,22-11018-44093,Blouse,3,4.3,Standard,Yes,Yes
2023-01-09,3175063594,Shirt,1,2.5,Standard,Yes,Yes
2023-01-09,3174751476,Shirt,2,2.6,Standard,Yes,Yes
2023-01-09,12-11020-96285,Blouse,2,4.9,Standard,Yes,Yes
2023-01-09,01-11033-91607,Blouse,2,4.7,Free Shipping,Yes,Yes
2023-01-09,19-11021-33626,Blouse,1,3,Standard,Yes,Yes
2023-01-09,3166350705,Shirt,4,3.5,Next Day Air,Yes,Yes
2023-01-09,02-11028-71087,Blouse,2,4.8,Standard,Yes,Yes
2023-01-09,16-11024-98906,Blouse,3,4.3,Free Shipping,Yes,Yes
2023-01-09,3166611363,Shirt,2,3.2,Store Pickup,Yes,Yes
2023-01-09,20-11019-66172,Blouse,5,3.1,Free Shipping,Yes,Yes
2023-01-09,05-11033-25783,Blouse,2,2.8,Free Shipping,Yes,Yes
2023-01-09,18-11017-41491,Dress,2,2.9,2-Day Shipping,Yes,Yes
2023-01-09,25-11009-95031,Blouse,5,3.7,Express,Yes,Yes
2023-01-09,27-11015-05773,Blouse,1,3.3,Store Pickup,Yes,Yes
2023-01-09,25-11017-83545,Blouse,2,2.8,2-Day Shipping,Yes,Yes
2023-01-09,19-11022-76142,Blouse,4,4.5,Standard,Yes,Yes
2023-01-09,3166433363,Shirt,3,2.6,Next Day Air,Yes,Yes
2023-01-09,20-11022-10962,Blouse,1,3.7,Standard,Yes,Yes
2023-01-09,05-11024-09423,Blouse,3,4.4,Express,Yes,Yes
2023-01-09,27-11016-04605,Blouse,1,4.3,2-Day Shipping,Yes,Yes
2023-01-09,10-11018-07804,Blouse,4,3.5,Express,Yes,Yes
2023-01-09,11-11027-52002,Blouse,5,3.8,2-Day Shipping,Yes,Yes
2023-01-09,3175136792,Shirt,3,3.5,Express,Yes,Yes
2023-01-09,3166734945,Shirt,1,4.6,Store Pickup,Yes,Yes
2023-01-09,14-11025-87417,Blouse,3,2.6,Next Day Air,Yes,Yes
2023-01-09,3175266828,Shirt,1,4.4,Next Day Air,Yes,Yes
2023-01-09,3166765609,Shirt,5,4,Standard,Yes,Yes
2023-01-09,25-11009-19520,Blouse,5,4.4,Next Day Air,Yes,Yes
2023-01-09,3166658223,Shirt,1,4.7,Next Day Air,Yes,Yes
2023-01-09,3166765249,Shirt,2,3.9,Store Pickup,Yes,Yes
2023-01-09,3175475016,Shirt,3,2.7,Free Shipping,Yes,Yes
2023-01-09,24-11031-26343,Blouse,5,3.7,2-Day Shipping,Yes,Yes
2023-01-09,09-11020-92040,Blouse,1,2.6,2-Day Shipping,Yes,Yes
2023-01-09,02-11023-20657,Blouse,5,3.9,Standard,Yes,Yes
2023-01-09,19-11022-51119,Blouse,2,4.9,Next Day Air,Yes,Yes
2023-01-09,01-11035-59383,Blouse,1,4.1,Store Pickup,Yes,Yes
2023-01-10,13-11026-80059,Dress,1,3,Free Shipping,Yes,Yes
